"H (A_per_meter)" 	"B (tesla)"
0 	0
10 	0.014999999999999999
20 	0.019
30 	0.040000000000000001
40 	0.068000000000000005
50 	0.10299999999999999
60 	0.182
70 	0.32000000000000001
80 	0.46300000000000002
100 	0.747
125 	1.01
150 	1.1279999999999999
175 	1.2030000000000001
200 	1.2589999999999999
250 	1.3260000000000001
300 	1.367
400 	1.4159999999999999
500 	1.444
800 	1.4990000000000001
1000 	1.5209999999999999
1500 	1.5620000000000001
2000 	1.5940000000000001
2500 	1.6180000000000001
3000 	1.641
4000 	1.679
5000 	1.71
8000 	1.7849999999999999
10000 	1.825
15000 	1.899
20000 	1.9530000000000001
30000 	2.0219999999999998
50000 	2.1040000000000001
80000 	2.153
