"B (Tesla)" 	"P"
0 	0
0.01 	0.0201
0.02 	0.083000000000000004
0.029999999999999999 	0.189
0.040000000000000001 	0.33300000000000002
0.050000000000000003 	0.51500000000000001
0.059999999999999998 	0.73999999999999999
0.070000000000000007 	1
0.080000000000000002 	1.2837000000000001
0.089999999999999997 	1.6220000000000001
0.10000000000000001 	1.9612000000000001
0.14999999999999999 	4.3255999999999997
0.20000000000000001 	7.2329999999999997
0.25 	10.997
0.29999999999999999 	15.391999999999999
0.34999999999999998 	20.460000000000001
0.40000000000000002 	25.963000000000001
0.45000000000000001 	32.682000000000002
0.5 	39.433
0.55000000000000004 	48.680999999999997
0.59999999999999998 	58.030000000000001
0.65000000000000002 	68.311999999999998
0.69999999999999996 	81.200000000000003
0.75 	96
